molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
9759,MOL009759,wy_hj_Molecule908.mol2,sibiricoside A,7.770303818,1213.480,-4.346,-5.04508,-6.41834,,16,28,0.010985,0.20829496,黄精,Huangjing
9760,MOL009760,wy_hj_Molecule908_qt.mol2,sibiricoside A_qt,35.2581888819,432.710,3.878,0.15842,-0.75239,5.4356,2,4,0.86193,0.21883368,黄精,Huangjing
9761,MOL009761,wy_hj_Molecule910.mol2,sibiricoside B,9.1031982306,1065.300,-3.688,-4.10530,-4.98482,,14,24,0.019186,0.21231844,黄精,Huangjing
9762,MOL009762,wy_hj_Molecule910_qt.mol2,sibiricoside B_qt,13.9081703062,446.690,2.788,0.15377,-0.54494,,3,5,0.75188,0.21335769,黄精,Huangjing
9763,MOL009763,wy_hj_Molecule914.mol2,(+)-Syringaresinol-O-beta-D-glucoside,43.3530842761,580.640,0.196,-0.96761,-1.83304,3.20428,5,13,0.76682,0.19242804,黄精,Huangjing
9764,MOL009764,wy_hj_Molecule916.mol2,vitexin xyloside,3.59814781031,580.540,-1.633,-2.61554,-3.43297,,10,15,0.76294,0.32323033,黄精,Huangjing
9765,MOL009765,wy_hj_Molecule918.mol2,(Z)-nonadec-6-enoic acid,31.8823261341,296.550,7.292,1.09303,0.75391,5.700213,1,2,0.1669,0.20618287,黄精,Huangjing
9766,MOL009766,wy_hj_Molecule919.mol2,zhonghualiaoine 1,34.7192232154,458.750,3.571,0.30761,-0.38271,5.254505,2,4,0.77592,0.206333,黄精,Huangjing
131,MOL000131,fyp_cg_Molecule73.mol2,EIC,41.9044360216,280.500,6.391,1.16206,0.90315,7.497042,1,2,0.14347,0.25038776,枸杞子,Gouqizi
1323,MOL001323,hc_tr_Molecule19.mol2,Sitosterol alpha1,43.281270422,426.800,8.153,1.41477,0.97257,5.640765,1,1,0.78354,0.23716514,枸杞子,Gouqizi
1393,MOL001393,hc_xhh_Molecule34.mol2,myristic acid,21.1811726395,228.420,5.455,1.07113,0.99179,,1,2,0.066784,0.18521617,枸杞子,Gouqizi
1394,MOL001394,hc_xhh_Molecule35.mol2,Oktadekan,9.806386361,254.560,8.583,1.8317,1.8291,,0,0,0.090617,0.13750342,枸杞子,Gouqizi
1396,MOL001396,hc_xhh_Molecule37.mol2,PENTADECYLIC ACID,20.1845931503,242.450,5.911,1.07931,0.88486,,1,2,0.081479,0.18164326,枸杞子,Gouqizi
1399,MOL001399,hc_xhh_Molecule47.mol2,TWT,8.36569448292,310.680,10.408,1.84833,1.63859,,0,0,0.17997,0.12928149,枸杞子,Gouqizi
1402,MOL001402,hc_xhh_Molecule50.mol2,Octacosane,8.146611389,394.860,13.145,1.91221,1.45871,,0,0,0.36732,0.12067759,枸杞子,Gouqizi
1410,MOL001410,hc_xhh_Molecule59.mol2,Zeaxanthin,21.1738581849,568.960,9.525,1.22477,-1.00396,,2,2,0.54186,0.31087995,枸杞子,Gouqizi
1600,MOL001600,lbh_bb_Molecule56.mol2,copaene,29.473383835,204.390,4.169,1.80953,2.03863,,0,0,0.12401,0.22374958,枸杞子,Gouqizi
1456,MOL001456,hcx_bqc_Molecule11.mol2,citric acid,56.2198910964,192.140,-1.395,-1.10696,-1.37769,11.4554,4,7,0.047066,0.42949119,枸杞子,Gouqizi
1468,MOL001468,hcx_bqc_Molecule23.mol2,MLT,59.6169837991,134.100,-0.955,-0.86983,-1.39591,11.4047,3,5,0.017766,0.41343823,枸杞子,Gouqizi
3578,MOL003578,lbh_scp_Molecule92.mol2,Cycloartenol,38.685659058,426.800,7.554,1.52617,1.33261,5.003719,1,1,0.78093,0,枸杞子,Gouqizi
1494,MOL001494,hcx_ndl_Molecule52.mol2,Mandenol,41.99620045,308.560,6.991,1.45585,1.13821,5.385969,0,2,0.19321,0.2476896,枸杞子,Gouqizi
1495,MOL001495,hcx_ndl_Molecule53.mol2,Ethyl linolenate,46.1009632724,306.540,6.546,1.53656,1.12378,6.200513,0,2,0.19716,0.24799952,枸杞子,Gouqizi
1496,MOL001496,hcx_ndl_Molecule54.mol2,ETHYLMYRISTATE,20.5787978016,256.480,6.055,1.39337,1.27527,,0,2,0.094355,0.19190918,枸杞子,Gouqizi
1498,MOL001498,hcx_ndl_Molecule57.mol2,Ethyl stearate,17.7043505447,312.600,7.880,1.37245,1.22261,,0,2,0.18836,0.18387406,枸杞子,Gouqizi
1585,MOL001585,lbh_bb_Molecule4.mol2,"9,17-OCTADECADIENAL (Z)",38.2569197548,264.500,6.492,1.50085,1.36590,6.423911,0,1,0.1196,0.23216334,枸杞子,Gouqizi
1619,MOL001619,lbh_bb_Molecule93.mol2,UPL,8.52049841508,268.590,9.039,1.83329,1.69808,,0,0,0.10901,0.15663439,枸杞子,Gouqizi
1691,MOL001691,lbh_bjc_Molecule43.mol2,vitamin c,13.343507375,176.140,-1.759,-0.86084,-1.38494,,4,6,0.043187,0.3686814,枸杞子,Gouqizi
1747,MOL001747,lbh_blg_Molecule125.mol2,Tetracosane,8.284074578,338.740,11.320,1.87807,1.61741,,0,0,0.23973,0.14909168,枸杞子,Gouqizi
1752,MOL001752,lbh_blg_Molecule132.mol2,EUG,38.3919348553,150.190,2.098,1.35854,1.35093,11.5652,1,2,0.030821,0.36463594,枸杞子,Gouqizi
1815,MOL001815,lbh_blg_Molecule52.mol2,1-Tricosene,16.2521192386,322.690,10.474,1.91430,1.92377,,0,0,0.21311,0.18218088,枸杞子,Gouqizi
1863,MOL001863,lbh_bm_Molecule6.mol2,METHYL ISOPALMITATE,9.41833209906,270.510,6.414,1.37926,1.22607,,0,2,0.11471,0.16370218,枸杞子,Gouqizi
1880,MOL001880,lbh_bmg_Molecule29.mol2,OXL,29.6783669335,90.040,-0.480,-0.64165,-0.87119,,2,4,0.0071888,0.52394098,枸杞子,Gouqizi
1889,MOL001889,lbh_bs_Molecule11.mol2,Methyl linolelaidate,41.9343581437,294.530,6.642,1.46147,1.10524,5.776061,0,2,0.16791,0.20209995,枸杞子,Gouqizi
1901,MOL001901,lbh_bs_Molecule37.mol2,24-Methylenecycloartanol,10.3970468274,440.830,7.859,1.41751,1.12835,,1,1,0.78773,0.25232914,枸杞子,Gouqizi
1979,MOL001979,lbh_btw_Molecule26.mol2,LAN,42.1191889704,426.800,8.120,1.51641,1.17987,5.835494,1,1,0.74787,0.23489921,枸杞子,Gouqizi
199,MOL000199,fyp_dfp_Molecule15.mol2,Safrol,45.3367098958,162.200,2.606,1.44246,1.29000,5.000839,0,2,0.047125,0.38374975,枸杞子,Gouqizi
216,MOL000216,fyp_dgt_Molecule39.mol2,Scopolin,22.9086765277,354.340,-0.288,-0.93088,-1.48406,,4,9,0.38712,0.27683985,枸杞子,Gouqizi
