molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397,当归,Danggui
273,MOL000273,fyp_fl_Molecule153.mol2,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylhept-5-enoic acid",30.93214234,470.760,5.413,0.01025,-0.7579,6.812918,3,4,0.81281,0,茯苓,Fuling
275,MOL000275,fyp_fl_Molecule155.mol2,trametenolic acid,38.7115000211,456.780,7.027,0.51877,-0.14230,7.7791,2,3,0.80199,0,茯苓,Fuling
276,MOL000276,fyp_fl_Molecule156.mol2,"7,9(11)-dehydropachymic acid",35.1058909952,526.830,6.098,0.02743,-0.87172,7.340838,2,5,0.81091,0,茯苓,Fuling
279,MOL000279,fyp_fl_Molecule159.mol2,Cerevisterol,37.96382825,430.740,5.146,0.27629,-0.38974,5.312703,3,3,0.77061,0,茯苓,Fuling
280,MOL000280,fyp_fl_Molecule160.mol2,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",31.0720566481,484.790,5.719,0.05107,-0.69764,7.418508,3,4,0.81528,0,茯苓,Fuling
282,MOL000282,fyp_fl_Molecule162.mol2,"ergosta-7,22E-dien-3beta-ol",43.507086374,398.740,7.183,1.32195,0.90967,5.113073,1,1,0.71939,0,茯苓,Fuling
283,MOL000283,fyp_fl_Molecule163.mol2,Ergosterol peroxide,40.3626804838,430.740,7.171,0.84419,0.34096,3.428952,1,3,0.81255,0,茯苓,Fuling
285,MOL000285,fyp_fl_Molecule165.mol2,"(2R)-2-[(5R,10S,13R,14R,16R,17R)-16-hydroxy-3-keto-4,4,10,13,14-pentamethyl-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",38.2551579991,482.770,5.680,0.11551,-0.57069,6.77014,2,4,0.82014,0,茯苓,Fuling
287,MOL000287,fyp_fl_Molecule167.mol2,3beta-Hydroxy-24-methylene-8-lanostene-21-oic acid,38.6999140072,470.810,7.333,0.60670,-0.04064,6.59447,2,3,0.8095,0,茯苓,Fuling
289,MOL000289,fyp_fl_Molecule169.mol2,pachymic acid,33.6279195687,528.850,6.543,0.10154,-0.57273,9.266582,2,5,0.81076,0,茯苓,Fuling
290,MOL000290,fyp_fl_Molecule170.mol2,Poricoic acid A,30.60694619,498.770,5.943,-0.13680,-0.92991,8.256824,3,5,0.76152,0,茯苓,Fuling
291,MOL000291,fyp_fl_Molecule171.mol2,Poricoic acid B,30.5246012947,484.740,5.638,-0.07527,-0.86893,8.672073,3,5,0.7463,0,茯苓,Fuling
292,MOL000292,fyp_fl_Molecule172.mol2,poricoic acid C,38.1513578853,482.770,7.113,0.31611,-0.41341,7.725726,2,4,0.74643,0,茯苓,Fuling
296,MOL000296,fyp_fl_Molecule175_qt.mol2,hederagenin,36.9139058327,414.790,8.084,1.31876,0.96428,5.347511,1,1,0.75072,0,茯苓,Fuling
300,MOL000300,fyp_fl_Molecule180.mol2,dehydroeburicoic acid,44.1722986724,453.750,6.348,0.38192,-0.16110,7.037371,1,3,0.83458,0.038687482,茯苓,Fuling
2419,MOL002419,lbh_fz_Molecule44.mol2,(R)-Norcoclaurine,82.5429526502,271.340,2.574,0.62871,0.02804,3.848199,4,4,0.20872,0.33921602,莲子,Lianzi
6,MOL000006,fyp_bdh_Molecule4.mol2,luteolin,36.1626293429,286.250,2.067,0.18500,-0.84349,15.944492,4,6,0.24552,0.39326519,莲子,Lianzi
7206,MOL007206,lxx_hy_Molecule169.mol2,Armepavine,69.3090585966,313.430,3.612,1.29632,0.91256,3.854195,1,4,0.28773,0.24703068,莲子,Lianzi
7213,MOL007213,lxx_hy_Molecule182.mol2,Nuciferin,34.4310288295,295.410,3.567,1.22086,0.82841,3.070512,0,3,0.40475,0.24192622,莲子,Lianzi
9155,MOL009155,wjn_lzx_Molecule47.mol2,14-Methyl-24-methylene-dihydromangiferodiol,36.8680357549,456.830,6.701,0.79133,-0.03165,4.690608,2,2,0.80351,0.23475015,莲子,Lianzi
9156,MOL009156,wjn_lzx_Molecule48.mol2,4'-methyl-N-methylcoclaurine,55.3515771652,297.430,3.879,1.43764,1.14091,5.053676,0,3,0.26005,0.23193686,莲子,Lianzi
9157,MOL009157,wjn_lzx_Molecule49.mol2,NSC90384,36.3203479146,402.580,2.144,-0.28940,-1.11519,6.529657,3,5,0.80042,0.26582932,莲子,Lianzi
9160,MOL009160,wjn_lzx_Molecule53.mol2,Loureirin A,40.4259281705,286.350,3.425,0.82881,0.20867,17.535437,1,4,0.18594,0.31244764,莲子,Lianzi
9167,MOL009167,wjn_lzx_Molecule64.mol2,"(1R)-6,7-dimethoxy-1-(4-methoxybenzyl)-2-methyl-3,4-dihydro-1H-isoquinoline",52.9553691701,327.460,3.863,1.27902,0.78786,3.465467,0,4,0.32468,0.22346655,莲子,Lianzi
9172,MOL009172,wjn_lzx_Molecule77.mol2,Pronuciferin,32.7491475556,311.410,2.351,0.73299,0.49940,9.728098,0,4,0.367,0.24919628,莲子,Lianzi
98,MOL000098,fyp_cg_Molecule36_qt.mol2,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,14.400548,5,7,0.27525,0.38453352,莲子,Lianzi
2039,MOL002039,lbh_cby_Molecule78.mol2,Isopimaric acid,36.1976186221,302.500,4.882,1.12099,1.12178,1.174125,1,2,0.28077,0.31502777,百合,Baihe
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397,百合,Baihe
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575,百合,Baihe
9449,MOL009449,wy_bh_Molecule121_qt.mol2,"26-O-beta-D-Glucopyranosyl-3beta,26-dihydroxy-choleslen-16,22-dioxo-3-O-alpha-L-rhamnopyranosyl-(1-2)-beta-D-glucopyranoside_qt",32.429481127,432.710,3.764,-0.17385,-1.10795,6.016523,2,4,0.8021,0.23031193,百合,Baihe
9458,MOL009458,wy_bh_Molecule138_qt.mol2,3-Demethylcolchicine,39.3432289356,385.450,1.467,0.12204,-0.51710,2.467286,2,7,0.56626,0.24223475,百合,Baihe
9465,MOL009465,wy_bh_Molecule161_qt.mol2,"26-O-β-D-glucopyranosyl-3β,26-dihydroxy-5-cholesten-16,22-dioxo-3-O-α-L-rhamnopyranosyl-(1→2)-β-D-glucopyranoside_qt",35.1139753561,430.690,3.514,-0.01821,-0.95676,4.147807,2,4,0.80695,0.23091006,百合,Baihe
9471,MOL009471,wy_bh_Molecule169_qt.mol2,"26-O-β-D-glucopyranosyl-3β,26-dihydroxy-cholestan-16,22-dioxo-3-O-α-L-rhamnopyranosyl-(1→2)-β-D-glucopyranoside_qt",32.429481127,432.710,3.764,-0.03837,-0.99437,5.733787,2,4,0.80088,0.2141605,百合,Baihe
1525,MOL001525,hcx_szr_Molecule104_qt.mol2,Daucosterol,36.9139058327,414.790,8.084,1.42309,1.14991,5.409395,1,1,0.75149,0.21033865,益智仁,Yizhiren
