molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin,SMILES,PubChem_CID,molecule_name_cn
9646.0,MOL009646,wy_gqz_Molecule603_qt.mol2,7-O-Methylluteolin-6-C-beta-glucoside_qt,40.773688434,318.3,2.014,0.33243,-0.46685,14.099055,4.0,7.0,0.30497,0.29483029,枸杞子,Gouqizi,,,
9650.0,MOL009650,wy_gqz_Molecule612.mol2,Atropine,42.1589707825,289.41,1.721,0.56932,0.39129,5.274339,1.0,4.0,0.19299,0.25939518,枸杞子,Gouqizi,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,174174.0,阿托品
9651.0,MOL009651,wy_gqz_Molecule621.mol2,Cryptoxanthin monoepoxide,46.9537193738,568.96,9.5,1.48975,-0.03313,4.401327,1.0,2.0,0.56103,0.32612327,枸杞子,Gouqizi,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C)C)C,5316151.0,隐黄质环氧化物
9653.0,MOL009653,wy_gqz_Molecule623.mol2,Cycloeucalenol,39.7264721596,426.8,7.586,1.41559,1.0419,5.009472,1.0,1.0,0.79446,0.22941984,枸杞子,Gouqizi,CC1C2CCC3C4(CCC(C4(CCC35C2(C5)CCC1O)C)C(C)CCC(=C)C(C)C)C,101690.0,
9656.0,MOL009656,wy_gqz_Molecule629.mol2,"(E,E)-1-ethyl octadeca-3,13-dienoate",41.9962004535,308.56,6.991,1.45588,1.1072,5.471341,0.0,2.0,0.19364,0.20713624,枸杞子,Gouqizi,CCCCC=CCCCCCCCCC=CCC(=O)OCC,167993300.0,
9660.0,MOL009660,wy_gqz_Molecule636.mol2,"methyl (1R,4aS,7R,7aS)-4a,7-dihydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,5,6,7a-tetrahydrocyclopenta[d]pyran-4-carboxylate",39.4284768233,406.43,-3.181,-1.4258,-2.05543,7.638203,6.0,11.0,0.46558,0.23220319,枸杞子,Gouqizi,,,
9662.0,MOL009662,wy_gqz_Molecule638.mol2,Lantadene A,38.679424169,552.87,7.206,0.31516,-0.29768,5.437298,1.0,5.0,0.57405,0.30371177,枸杞子,Gouqizi,CC=C(C)C(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C(=O)O)(C)C,6436598.0,马缨丹烯A
9664.0,MOL009664,wy_gqz_Molecule660.mol2,Physalin A,91.7064749115,526.58,0.497,-0.78303,-1.10928,13.213513,3.0,10.0,0.27207,0.38940609,枸杞子,Gouqizi,CC12CC(C3(C45C1C(=O)C(O4)(C6C(CCC5(C(=O)O3)O)C7(C(=CC6O)CC=CC7=O)C)O)C)OC(=O)C2=C,44577487.0,酸浆苦素A
9665.0,MOL009665,wy_gqz_Molecule661.mol2,Physcion-8-O-beta-D-gentiobioside,43.9035865641,608.6,-0.908,-2.68432,-3.52314,28.464267,8.0,15.0,0.62426,0.28922597,枸杞子,Gouqizi,CC1=CC2=C(C(=C1)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O)C(=O)C5=C(C2=O)C=C(C=C5O)OC,5320543.0,大黄素-8-O-β-D-龙胆二糖苷
9677.0,MOL009677,wy_gqz_Molecule710.mol2,lanost-8-en-3beta-ol,34.22630373,428.82,8.37,1.48075,1.24532,5.47725,1.0,1.0,0.74036,0.21606757,枸杞子,Gouqizi,CC(C)CCCC(C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C,440560.0,
9678.0,MOL009678,wy_gqz_Molecule711.mol2,lanost-8-enol,34.2263037274,428.82,8.37,1.3709,1.1177,6.413942,1.0,1.0,0.74167,0.22185917,枸杞子,Gouqizi,,,
9681.0,MOL009681,wy_gqz_Molecule723.mol2,Obtusifoliol,42.5520022229,426.8,8.152,1.46931,1.25222,5.91285,1.0,1.0,0.7565,0.23843822,枸杞子,Gouqizi,CC1C2CCC3=C(C2(CCC1O)C)CCC4(C3(CCC4C(C)CCC(=C)C(C)C)C)C,65252.0,钝叶甾醇
98.0,MOL000098,fyp_cg_Molecule36_qt.mol2,quercetin,46.4333481195,302.25,1.504,0.04842,-0.7689,14.400548,5.0,7.0,0.27525,0.38453352,枸杞子,Gouqizi,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,5280343.0,槲皮素
10300.0,MOL010300,wy_ss_Molecule770.mol2,dIDP,41.0780671019,446.74,9.264,0.9114,0.26334,1.961793,0.0,4.0,0.56954,0.28196535,桑葚,Sangshen,C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)O)O,135398667.0,
2372.0,MOL002372,lbh_fxy_Molecule30.mol2,"(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",33.5459426365,410.8,11.331,2.07256,1.76597,3.149533,0.0,0.0,0.42436,0.26638508,桑葚,Sangshen,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,11975273.0,
6209.0,MOL006209,lmm_zs_Molecule029.mol2,cyanin,47.4209226916,411.66,7.077,1.78221,0.99102,2.723773,0.0,1.0,0.75918,0.27626067,桑葚,Sangshen,C1=CC(=C(C=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O,441688.0,矢车菊素
737.0,MOL000737,fyp_sz_Molecule112.mol2,morin,46.2295855512,302.25,1.504,0.00286,-0.77,15.513617,5.0,7.0,0.27457,0.40938485,桑葚,Sangshen,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,5281670.0,桑色素
