Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Platelet Aggregation (GO:0090330),2/25,0.0021389615004277,0.0133673956487419,0,0,32.68580803937654,200.93387537332225,IL6;PRKCA
GO_Biological_Process_2023,Regulation Of B Cell Activation (GO:0050864),2/25,0.0021389615004277,0.0133673956487419,0,0,32.68580803937654,200.93387537332225,IL10;IL6
GO_Biological_Process_2023,Regulation Of Endothelial Cell Proliferation (GO:0001936),3/93,0.0021437303738923,0.0133673956487419,0,0,12.727564102564102,78.21352622515597,CAV1;PRKCA;VEGFA
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),4/199,0.0021821360553596,0.0135417725540739,0,0,7.943690296631473,48.67457336957043,CHRNA2;HTR3A;SLC6A2;DRD4
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),3/95,0.0022777775657817,0.0138895044796194,0,0,12.449623745819398,75.75042119812595,PRKCA;MTOR;VEGFA
GO_Biological_Process_2023,Acute Inflammatory Response (GO:0002526),2/26,0.0023131325887415,0.0138895044796194,0,0,31.32232704402516,190.09998180598296,CRP;IL6
GO_Biological_Process_2023,Regulation Of Vascular Endothelial Growth Factor Production (GO:0010574),2/26,0.0023131325887415,0.0138895044796194,0,0,31.32232704402516,190.09998180598296,IL6;PTGS2
GO_Biological_Process_2023,Regulation Of Vasoconstriction (GO:0019229),2/26,0.0023131325887415,0.0138895044796194,0,0,31.32232704402516,190.09998180598296,CAV1;ADRA1D
GO_Biological_Process_2023,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),2/26,0.0023131325887415,0.0138895044796194,0,0,31.32232704402516,190.09998180598296,CDK2;TP53
GO_Biological_Process_2023,Negative Regulation Of Catalytic Activity (GO:0043086),2/26,0.0023131325887415,0.0138895044796194,0,0,31.32232704402516,190.09998180598296,NOS1;TP53
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),2/26,0.0023131325887415,0.0138895044796194,0,0,31.32232704402516,190.09998180598296,CAV1;SCN5A
GO_Biological_Process_2023,Cellular Response To Acid Chemical (GO:0071229),2/27,0.0024937899442036,0.0148369062276704,0,0,30.067924528301887,180.22568613100944,MTOR;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle (GO:0045931),2/27,0.0024937899442036,0.0148369062276704,0,0,30.067924528301887,180.22568613100944,PRKCA;CDC25B
GO_Biological_Process_2023,Regulation Of Sodium Ion Transmembrane Transport (GO:1902305),2/28,0.0026808978945138,0.0157335953356765,0,0,28.9100145137881,171.19364328325966,NOS1;SCN5A
GO_Biological_Process_2023,Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),2/28,0.0026808978945138,0.0157335953356765,0,0,28.9100145137881,171.19364328325966,MAPK14;VEGFA
GO_Biological_Process_2023,Regulation Of Bone Resorption (GO:0045124),2/28,0.0026808978945138,0.0157335953356765,0,0,28.9100145137881,171.19364328325966,IL6;PRKCA
GO_Biological_Process_2023,Calcium Ion Homeostasis (GO:0055074),3/102,0.0027875150003159,0.01628561691626,0,0,11.565268065268064,68.03390098219067,CAV1;DRD3;DRD4
GO_Biological_Process_2023,Response To Steroid Hormone (GO:0048545),2/29,0.0028744209090306,0.0166434103527354,0,0,27.83787561146052,162.90457697750804,CAV1;NR3C1
GO_Biological_Process_2023,Positive Regulation Of Neural Precursor Cell Proliferation (GO:2000179),2/29,0.0028744209090306,0.0166434103527354,0,0,27.83787561146052,162.90457697750804,DRD2;VEGFA
GO_Biological_Process_2023,Prostaglandin Metabolic Process (GO:0006693),2/30,0.0030743235966317,0.017643352676245,0,0,26.842318059299192,155.2739619530397,PTGS2;PTGS1
GO_Biological_Process_2023,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),2/30,0.0030743235966317,0.017643352676245,0,0,26.842318059299192,155.2739619530397,PTGS2;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Growth (GO:0030307),3/106,0.0031078873837272,0.0177574006021771,0,0,11.113890963405526,64.16951791648675,EGFR;IL2;MTOR
GO_Biological_Process_2023,Regulation Of Cellular Response To Stress (GO:0080135),3/107,0.0031913629139537,0.0181543758745526,0,0,11.006471893491124,63.25757524453757,GSK3B;OPRM1;MTOR
GO_Biological_Process_2023,Response To Estradiol (GO:0032355),2/31,0.0032805707069433,0.0184995661169802,0,0,25.915419648666237,148.2294073291968,ESR1;EGFR
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Migration (GO:0002687),2/31,0.0032805707069433,0.0184995661169802,0,0,25.915419648666237,148.2294073291968,IL6;VEGFA
GO_Biological_Process_2023,Negative Regulation Of Fat Cell Differentiation (GO:0045599),2/32,0.0034931271287104,0.0196129259131492,0,0,25.050314465408807,141.7085747770232,IL6;RUNX1T1
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),3/111,0.0035390131021105,0.0197849137648165,0,0,10.596688034188034,59.8067257511645,CDK4;CDK2;CDC25B
GO_Biological_Process_2023,Small GTPase Mediated Signal Transduction (GO:0007264),3/112,0.003629397969687,0.020203129470747,0,0,10.49894142554693,58.99028137672536,CDK2;TP53;ADRA2A
GO_Biological_Process_2023,Vasculogenesis (GO:0001570),2/33,0.0037119578894409,0.0204969610400809,0,0,24.241022519780888,135.65750862045326,CAV1;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cellular Component Organization (GO:0051130),3/113,0.0037211855876421,0.0204969610400809,0,0,10.402972027972028,58.19123940459462,GSK3B;MMP3;VEGFA
GO_Biological_Process_2023,Negative Regulation Of Multicellular Organismal Process (GO:0051241),4/231,0.0037295935277248,0.0204969610400809,0,0,6.812818519478276,38.09357515840988,IL10;GSK3B;EGFR;SLC6A4
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),8/938,0.0039063357301401,0.0211005186683083,0,0,3.4802104781514527,19.2983082664384,IL6;PGR;NOS1;NR3C1;TP53;ESR1;EGFR;VEGFA
GO_Biological_Process_2023,Regulation Of Interleukin-17 Production (GO:0032660),2/34,0.0039370281555363,0.0211005186683083,0,0,23.48231132075472,130.0292861762509,IL6;IL2
GO_Biological_Process_2023,Regulation Of Metal Ion Transport (GO:0010959),2/34,0.0039370281555363,0.0211005186683083,0,0,23.48231132075472,130.0292861762509,NOS1;DRD2
GO_Biological_Process_2023,Cellular Response To Amyloid-Beta (GO:1904646),2/34,0.0039370281555363,0.0211005186683083,0,0,23.48231132075472,130.0292861762509,GSK3B;ADRB2
GO_Biological_Process_2023,Cellular Response To Hydrogen Peroxide (GO:0070301),2/34,0.0039370281555363,0.0211005186683083,0,0,23.48231132075472,130.0292861762509,IL6;SLC6A2
GO_Biological_Process_2023,Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924),2/34,0.0039370281555363,0.0211005186683083,0,0,23.48231132075472,130.0292861762509,MAPK14;VEGFA
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),3/117,0.0041024975491457,0.0218968696347407,0,0,10.035931174089068,55.15907678184662,IL10;IL6;MAPK14
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Contraction (GO:0055117),2/35,0.0041683032309063,0.0221569233216618,0,0,22.769582618639223,124.78291919154653,NOS1;SCN5A
