Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Vascular smooth muscle contraction,5/133,3.2127108574521626e-05,0.000151143442611954,0,0,15.48203125,160.17415961502752,ADRA1D;PRKCA;ADCY2;ADRA1B;ADRA1A
KEGG_2021_Human,Yersinia infection,5/137,3.703199877714211e-05,0.0001703471943748537,0,0,15.009848484848485,153.15641407130462,IL10;GSK3B;IL6;MAPK14;IL2
KEGG_2021_Human,Amphetamine addiction,4/69,3.874485288859128e-05,0.00017435183799866075,0,0,23.98793363499246,243.6817270306107,MAOB;MAOA;PRKCA;DRD1
KEGG_2021_Human,Prolactin signaling pathway,4/70,4.10094477357013e-05,0.00017756997056786022,0,0,23.6232917409388,238.635597179127,GSK3B;MAPK14;ESR1;ESR2
KEGG_2021_Human,Coronavirus disease,6/232,4.117564534906904e-05,0.00017756997056786022,0,0,10.683944374209862,107.88287630483968,IL6;MMP3;PRKCA;MAPK14;EGFR;IL2
KEGG_2021_Human,Non-small cell lung cancer,4/72,4.582714074155236e-05,0.0001935962884388028,0,0,22.926182237600923,229.0470968936918,CDK4;PRKCA;TP53;EGFR
KEGG_2021_Human,Retrograde endocannabinoid signaling,5/148,5.354910242808342e-05,0.00022169328405226532,0,0,13.847552447552449,136.18945312612115,GABRA6;PRKCA;ADCY2;PTGS2;MAPK14
KEGG_2021_Human,Gastric cancer,5/149,5.529331871219656e-05,0.0002244258230083272,0,0,13.750694444444443,134.79611158124666,GSK3B;CDK2;TP53;EGFR;MTOR
KEGG_2021_Human,Cushing syndrome,5/155,6.670085000849696e-05,0.00026552069137997827,0,0,13.196666666666667,126.88981479385728,GSK3B;CDK4;CDK2;ADCY2;EGFR
KEGG_2021_Human,Hepatitis C,5/157,7.088082040725657e-05,0.00027683641177928507,0,0,13.02171052631579,124.41607225830997,GSK3B;CDK4;CDK2;TP53;EGFR
KEGG_2021_Human,Hepatitis B,5/162,8.221672678175979e-05,0.00030943386261498684,0,0,12.603821656050956,118.55345960284822,IL6;CDK2;PRKCA;MAPK14;TP53
KEGG_2021_Human,JAK-STAT signaling pathway,5/162,8.221672678175979e-05,0.00030943386261498684,0,0,12.603821656050956,118.55345960284822,IL10;IL6;EGFR;IL2;MTOR
KEGG_2021_Human,ErbB signaling pathway,4/85,8.783847000236864e-05,0.00032468863018732697,0,0,19.23408375695957,179.64655383339084,GSK3B;PRKCA;EGFR;MTOR
KEGG_2021_Human,Colorectal cancer,4/86,9.193603570658566e-05,0.00033387297177654793,0,0,18.99856527977045,176.58059736007212,GSK3B;TP53;EGFR;MTOR
KEGG_2021_Human,Small cell lung cancer,4/92,0.00011950114249686916,0.0004264954568422745,0,0,17.697860962566846,159.8503476990961,CDK4;CDK2;PTGS2;TP53
KEGG_2021_Human,GnRH signaling pathway,4/93,0.000124618262035071,0.0004372200040891474,0,0,17.49812734082397,157.31263376430456,PRKCA;ADCY2;MAPK14;EGFR
KEGG_2021_Human,African trypanosomiasis,3/37,0.0001430965068399656,0.0004936829485978814,0,0,33.785633484162894,299.0701330695361,IL10;IL6;PRKCA
KEGG_2021_Human,MAPK signaling pathway,6/294,0.00015178691209442128,0.0005150801771072985,0,0,8.357568027210885,73.48837075100019,PRKCA;MAPK14;TP53;EGFR;CDC25B;VEGFA
KEGG_2021_Human,Chagas disease,4/102,0.00017808846839781445,0.0005945856928765741,0,0,15.883953581432571,137.12982644692147,IL10;IL6;MAPK14;IL2
KEGG_2021_Human,Transcriptional misregulation in cancer,5/192,0.00018241899667186632,0.0005993767033504179,0,0,10.56577540106952,90.96291941010846,IL6;MMP3;MPO;TP53;RUNX1T1
KEGG_2021_Human,Th17 cell differentiation,4/107,0.00021408056892063327,0.0006924168401026734,0,0,15.109080525414049,127.65901046012584,IL6;MAPK14;IL2;MTOR
